DATE,SLEEP SCORE,HOURS OF SLEEP,REM SLEEP,DEEP SLEEP,HEART RATE BELOW RESTING,SLEEP TIME
04/12/2022,86.0,8:00:00,20.00%,19.00%,73.00%,9:52pm - 7:10am
04/13/2022,82.0,7:48:00,11.00%,13.00%,73.00%,10:51pm - 8:02am
04/14/2022,83.0,7:19:00,19.00%,23.00%,77.00%,9:35pm - 5:58am
04/15/2022,82.0,8:04:00,17.00%,19.00%,57.00%,11:37pm - 8:52am
04/16/2022,90.0,9:39:00,21.00%,17.00%,96.00%,9:43pm - 8:35am
04/17/2022,91.0,7:32:00,24.00%,14.00%,99.00%,10:50pm - 7:21am
04/18/2022,89.0,7:59:00,17.00%,18.00%,95.00%,10:14pm - 7:04am
04/19/2022,82.0,7:59:00,15.00%,17.00%,45.00%,10:04pm - 7:08am
04/20/2022,75.0,6:54:00,20.00%,15.00%,9.00%,12:37am - 8:42am
04/21/2022,93.0,7:59:00,22.00%,24.00%,99.00%,10:36pm - 7:37am
04/22/2022,87.0,7:44:00,19.00%,8.00%,88.00%,9:00pm - 5:54am
04/23/2022,79.0,7:55:00,8.00%,12.00%,57.00%,10:10pm - 7:22am
04/24/2022,81.0,8:17:00,13.00%,15.00%,64.00%,12:10am - 9:46am
04/25/2022,84.0,7:39:00,16.00%,20.00%,70.00%,9:52pm - 6:55am
04/26/2022,85.0,7:18:00,22.00%,14.00%,100.00%,9:32pm - 6:00am
04/27/2022,90.0,7:34:00,24.00%,19.00%,98.00%,9:19pm - 5:49am
04/28/2022,87.0,6:54:00,21.00%,22.00%,90.00%,10:02pm - 5:46am
04/29/2022,86.0,7:45:00,19.00%,17.00%,95.00%,10:15pm - 7:24am
04/30/2022,89.0,7:11:00,22.00%,18.00%,75.00%,11:08pm - 7:04am
11/1/2021,88.0,8:06:00,20.00%,13.00%,84.00%,10:41pm - 7:54am
11/2/2021,83.0,7:57:00,12.00%,18.00%,90.00%,10:40pm - 7:55am
11/3/2021,81.0,7:06:00,13.00%,22.00%,93.00%,11:03pm - 7:16am
11/4/2021,86.0,7:04:00,19.00%,17.00%,97.00%,10:55pm - 6:56am
11/5/2021,81.0,9:24:00,17.00%,15.00%,66.00%,10:14pm - 9:01am
11/6/2021,77.0,8:19:00,14.00%,13.00%,21.00%,11:21 - 8:45am
11/7/2021,86.0,7:37:00,20.00%,15.00%,80.00%,11:18pm - 6:57am
11/8/2021,81.0,6:46,16%,17.00%,89.00%,11:50pm - 7:40am
11/9/2021,88.0,7:10:00,24.00%,19.00%,98.00%,11:14pm - 7:16am
11/10/2021,84.0,7:16:00,21.00%,17.00%,96.00%,11:16pm - 7:29am
11/11/2021,85.0,6:52:00,19.00%,21.00%,97.00%,10:47pm - 6:32am
11/12/2021,85.0,7:28:00,18.00%,16.00%,74.00%,10:21pm - 6:47am
11/13/2021,74.0,6:06,16.00%,21.00%,43.00%,11:34pm - 6:51am
11/14/2021,88.0,6:59:00,23.00%,22.00%,91.00%,10:54pm - 6:48am
11/15/2021,87.0,7:19:00,21.00%,22.00%,96.00%,10:45pm - 6:57am
11/16/2021,80.0,7:22:00,17.00%,11.00%,55.00%,11-38pm - 8:23am
11/17/2021,78.0,6:57:00,15.00%,14.00%,67.00%,11:50pm - 7:50am
11/18/2021,87.0,7:14:00,24.00%,19.00%,98.00%,10:42pm - 6:51am
11/19/2021,83.0,6:50:00,20.00%,20.00%,75.00%,10:49pm - 6:37am
11/20/2021,86.0,7:56:00,24.00%,17.00%,63.00%,10:53pm - 7:59am
11/21/2021,88.0,7:33:00,19.00%,16.00%,95.00%,11:13pm - 8:07am
11/22/2021,87.0,8:21:00,14.00%,19.00%,94.00%,10:12pm - 7:32am
11/23/2021,86.0,8:15:00,20.00%,14.00%,72.00%,11:53pm - 9:15am
11/24/2021,77.0,6:26:00,18.00%,13.00%,55.00%,11:36pm - 7:13am
11/25/2021,81.0,6:51:00,20.00%,17.00%,51.00%,12:50am - 8:27am
11/26/2021,87.0,8:45:00,22.00%,19.00%,56.00%,12:53am - 10:35am
11/27/2021,86.0,7:53:00,24.00%,19.00%,66.00%,12:51am - 10:04am
11/28/2021,83.0,6:13:00,22.00%,22.00%,81.00%,12:02am - 6:59am
11/29/2021,89.0,7:44:00,18.00%,21.00%,81.00%,11:00pm - 7:38am
11/30/2021,78.0,6:48:00,12.00%,13.00%,74.00%,11:16pm - 7:06am
02/01/2022,87.0,7:30:00,18.00%,17.00%,98.00%,10:18pm - 7:11am
02/02/2022,90.0,7:27:00,20.00%,18.00%,88.00%,10:21pm - 6:50am
02/03/2022,66.0,5:39:00,16.00%,0.00%,13.00%,11:00pm - 5:29am
02/04/2022,87.0,9:13:00,18.00%,19.00%,96.00%,11:09pm - 9:56am
02/05/2022,85.0,6:50:00,23.00%,19.00%,93.00%,12:41am - 8:20am
02/06/2022,78.0,6:43:00,17.00%,18.00%,70.00%,12:12am - 8:05am
02/07/2022,87.0,8:16:00,19.00%,15.00%,79.00%,10:33pm - 7:47am
02/08/2022,83.0,6:41:00,23.00%,15.00%,94.00%,12:12am - 7:52am
02/09/2022,81.0,7:18:00,21.00%,13.00%,89.00%,11:13pm - 7:45am
02/10/2022,83.0,6:35:00,20.00%,21.00%,85.00%,10:24pm - 5:58am
02/11/2022,86.0,8:51:00,23.00%,21.00%,42.00%,9:49pm - 7:44am
02/12/2022,84.0,8:49:00,24.00%,18.00%,35.00%,10:43pm - 8:53am
02/13/2022,89.0,8:04:00,24.00%,16.00%,97.00%,10:47pm - 8:08am
02/14/2022,78.0,6:42:00,17.00%,19.00%,52.00%,12:48am - 8:36am
02/15/2022,81.0,7:07:00,15.00%,20.00%,98.00%,12:16am - 8:29am
02/16/2022,85.0,6:49:00,18.00%,15.00%,98.00%,11:17pm - 7:10am
02/17/2022,89.0,8:01:00,22.00%,14.00%,89.00%,10:23pm - 7:33am
02/18/2022,80.0,6:54:00,13.00%,15.00%,77.00%,11:06pm - 7:02am
02/19/2022,88.0,8:18:00,23.00%,20.00%,71.00%,10:20pm - 7:47am
02/20/2022,85.0,8:04:00,17.00%,21.00%,76.00%,10:12pm - 7:33am
02/21/2022,83.0,8:12:00,22.00%,13.00%,40.00%,11:40pm - 8:53am
02/22/2022,89.0,7:49:00,20.00%,17.00%,96.00%,10:34pm - 7:23am
02/23/2022,81.0,7:16:00,19.00%,16.00%,96.00%,10:55pm - 7:31am
02/24/2022,84.0,7:18:00,19.00%,19.00%,96.00%,10:23pm - 6:43am
02/25/2022,90.0,7:46:00,20.00%,21.00%,98.00%,10:28pm - 7:15am
02/26/2022,82.0,8:02:00,16.00%,16.00%,57.00%,11:05pm - 8:10am
02/27/2022,85.0,8:54:00,18.00%,17.00%,81.00%,9:59pm - 8:11am
02/28/2022,82.0,7:57:00,19.00%,13.00%,54.00%,10:58pm - 8:11am
12/01/2021,91.0,7:33:00,23.00%,19.00%,98.00%,10:56pm - 7:20am
12/02/2021,81.0,7:17:00,16.00%,13.00%,94.00%,10:45pm - 6:58am
12/03/2021,80.0,7:17:00,15.00%,17.00%,78.00%,10:51pm - 7:02am
12/04/2021,85.0,8:23:00,20.00%,15.00%,58.00%,9:53pm - 7:17am
12/05/2021,82.0,7:19:00,20.00%,12.00%,79.00%,11:54pm - 8:16am
12/06/2021,80.0,7:18:00,18.00%,16.00%,56.00%,11:28pm - 7:47am
12/07/2021,89.0,8:02:00,21.00%,11.00%,94.00%,10:09pm - 7:18am
12/08/2021,85.0,6:47:00,22.00%,16.00%,94.00%,11:40pm - 7:33
12/09/2021,85.0,7:32:00,12.00%,14.00%,96.00%,10:47pm - 7:27am
12/10/2021,87.0,7:45:00,20.00%,13.00%,75.00%,10:27pm - 7:07am
12/11/2021,78.0,7:57:00,13.00%,10.00%,45.00%,11:44pm - 9:05am
12/12/2021,85.0,6:47:00,24.00%,17.00%,74.00%,12:21am - 8:18am
12/13/2021,87.0,8:33:00,21.00%,15.00%,83.00%,10:13pm - 7:47am
12/14/2021,83.0,7:33:00,12.00%,20.00%,76.00%,11:19pm - 7:54am
12/15/2021,79.0,7:08:00,26.00%,19.00%,31.00%,11:00pm - 6:58am
12/16/2021,74.0,6:34:00,16.00%,23.00%,0.00%,12:38am - 8:18am
12/17/2021,84.0,7:18:00,21.00%,16.00%,79.00%,11:54pm - 8:10am
12/18/2021,87.0,8:14:00,16.00%,18.00%,99.00%,10:44pm - 8:16am
12/19/2021,83.0,7:08:00,29.00%,17.00%,65.00%,11:57pm - 7:57am
12/20/2021,85.0,7:06:00,23.00%,14.00%,98.00%,12:42am - 8:51am
12/21/2021,91.0,8:26:00,21.00%,19.00%,96.00%,10:25pm - 8:01am
12/22/2021,88.0,7:29:00,22.00%,16.00%,90.00%,11:01pm - 7:42am
12/23/2021,89.0,8:37:00,20.00%,19.00%,95.00%,11:24pm - 9:18am
12/24/2021,78.0,9:03:00,12.00%,18.00%,52.00%,11:20pm - 9:56am
12/25/2021,75.0,6:39:00,16.00%,14.00%,50.00%,01:19am - 9:06am
12/26/2021,91.0,7:51:00,21.00%,27.00%,83.00%,12:14am - 9:08am
12/27/2021,83.0,7:06:00,20.00%,16.00%,90.00%,12:00am - 8:09am
12/28/2021,85.0,6:57:00,20.00%,18.00%,99.00%,11:16pm - 7:02
12/29/2021,91.0,7:23:00,26.00%,16.00%,98.00%,10:51pm - 7:09am
12/30/2021,87.0,7:48:00,22.00%,21.00%,60.00%,11:34pm - 8:18am
12/31/2021,89.0,8:09:00,23.00%,19.00%,70.00%,10:28pm - 7:29am
